method,modality,task,train_success,tight_success
Diffusion Policy,Image,Stack Three,0.150,0.000
Diffusion Policy,Image,Coffee,0.000,0.000
Diffusion Policy,Image,Threading,0.000,0.000
Diffusion Policy,Image,Stack,0.950,0.025
ManiFlow,Point cloud,Stack Three,0.275,0.275
ManiFlow,Point cloud,Coffee,0.100,0.225
ManiFlow,Point cloud,Threading,0.025,0.050
ManiFlow,Point cloud,Stack,0.975,0.725
E2E camera-pose action policy,Image,Stack Three,0.300,0.000
E2E camera-pose action policy,Image,Coffee,0.025,0.000
E2E camera-pose action policy,Image,Threading,0.050,0.000
E2E camera-pose action policy,Image,Stack,0.975,0.025
E2E camera-pose NVS policy,Image,Stack Three,0.550,0.250
E2E camera-pose NVS policy,Image,Coffee,0.200,0.175
E2E camera-pose NVS policy,Image,Threading,0.150,0.100
E2E camera-pose NVS policy,Image,Stack,,
